,Important Words
0,"months, delhi, march, technical, students"
1,"development, bengaluru, project, engineer, july months"
2,"delhi, new, months, project, students"
3,"management, business, years, india, program"
4,"months, web, company, full, students"
5,"content, love, programming, engineering, computer science"
6,"area, months, bengaluru, area india, january"
7,"intern, ai, work, using, learning"
8,"data, deep, learning, deep learning, using"
9,"education, developer, web, school, institute engineering"
10,"code, new, degree, app, building"
11,"months, learning, using, python, student"
12,"full, intern, university, work, problem"
13,"com, months, like, creating, full"
14,"learning, deep learning, deep, machine, tech"
15,"years, months, present years, august, learning"
16,"institute, months, march months, january, web"
17,"institute engineering, institute, engineering, bachelor technology, technology computer"
18,"bengaluru, area, engineering, months, computer science"
19,"computer, learning, research, machine learning, machine"
20,"java, year, development, etc, present year"
21,"programming, problem, working, institute engineering, currently"
22,"education, delhi, also, years, present years"
23,"data, business, years months, years, year month"
24,"tech, app, creating, full, engineer"
25,"program, design, information, pvt, technology"
26,"institute engineering, institute, engineering, student, btech computer"
27,"online, research, engineer, programming, months"
28,"months, python, data, analysis, used"
29,"machine, professional, engineer, app, full"
30,"india, ai, learning, content, machine"
31,"months, com, year months, year, business"
32,"deep, months, data, learning, design"
33,"delhi, delhi area, years, education, area"
34,"learning, technology, area, information technology, information"
35,"learning, delhi, delhi area, development, various"
36,"data science, science, data, institute engineering, bachelor technology"
37,"ai, ml, learning, machine, machine learning"
38,"years, time, team, company, year"
39,"science, engineering, institute engineering, gmail, student"
40,"data, learning, machine learning, machine, problems"
41,"institute engineering, btech computer, delhi, science page, technology btech"
42,"learning, machine learning, bengaluru, machine, various"
43,"data, learning, machine learning, machine, data science"
44,"professional, working, learning, delhi, machine learning"
45,"learning, years, software, present years, engineer"
46,"based, software, worked, student, students"
47,"experience, learning, area, university, science page"
48,"institute engineering, language, programming, institute, engineering"
49,"ai, area india, area, india, years"
50,"research, ai, work, also, delhi"
